62ff5cd784ca,13.11%,168.4MiB / 5GiB,88kB / 91.9kB
687dcfdbd41b,2.03%,33.11MiB / 4GiB,48.6MB / 770kB
c9fca3d9fae1,0.75%,679.2MiB / 10GiB,45.4MB / 561kB
c050eff10e05,2.06%,43.54MiB / 4GiB,966kB / 48.8MB
132c931102ce,0.03%,106.2MiB / 15.42GiB,70kB / 17.9kB
f1b80b6acbdb,6.99%,47.26MiB / 15.42GiB,25kB / 25.2kB
[2J[H870f81ed520b,190.23%,1.062GiB / 4GiB,149MB / 501kB
62ff5cd784ca,13.11%,168.4MiB / 5GiB,88kB / 91.9kB
687dcfdbd41b,2.03%,33.11MiB / 4GiB,48.6MB / 770kB
c9fca3d9fae1,0.75%,679.2MiB / 10GiB,45.4MB / 561kB
c050eff10e05,2.06%,43.54MiB / 4GiB,966kB / 48.8MB
